Country Name,Country Code,Indicator Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.9479866232577825,6.830908035102959,6.790810120951285,6.88031174359159,7.02762996710982,7.1230320276192645,7.068440099546072,7.244669879697249,7.661161099483159,7.964493093555416,7.448221786240204
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.909,7.919,7.915,9.011,10.1,11.184,11.206,11.224,11.71,11.934,14.1
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.010142513952892,3.713899409834111,3.899550084187281,4.204561557938083,4.139948470358316,4.204170410604503,4.224167213732055,4.247943938511218,4.697496685262634,4.524016135397562,3.737765511893297
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",16.557,16.487,16.401,16.491,16.58,16.617,16.599,16.497,16.676,15.799,14.693
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,12.79,12.473,11.588
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.888849051538351,10.900063190187502,10.940002675367204,11.070452894507284,10.807321070176087,11.06871581532287,10.598600759648736,10.14133061017183,11.231383842646748,10.783297115099787,9.869656321187254
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.266,2.074,1.962,1.792,1.64,2.462,2.236,2.331,4.294,3.105,2.873
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.217,7.1,7.268,7.58,8.083,8.347,9.221,9.843,11.461,8.736,6.805
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.704,11.948,12.201,12.468,12.732,12.968,13.212,12.2,12.18,10.012,8.608
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.225,5.663,6.078,6.055,5.711,5.592,5.3,5.159,6.456,5.116,3.701
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.19,4.97,4.91,4.96,5.0,5.0,4.9,5.0,7.24,6.04,5.65
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.591,1.584,1.572,1.444,1.356,1.258,1.157,1.053,1.03,1.11,0.919
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.542,8.425,8.523,8.482,7.83,7.086,5.948,5.36,5.555,6.264,5.558
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.415,2.113,1.892,1.855,1.835,1.722,1.473,1.402,1.565,1.694,1.473
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.852,4.055,4.254,4.468,4.594,4.66,4.695,4.701,4.985,5.11,5.348
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.075,4.426,4.406,4.382,4.35,4.372,4.532,4.693,5.828,5.815,5.247
Bulgaria,BGR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.27,12.941,11.424,9.143,7.575,6.164,5.212,4.23,5.125,5.267,4.268
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.2,1.182,1.146,1.166,1.195,1.196,1.202,1.226,1.767,1.551,1.326
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",14.02,16.18,13.8,12.0,12.7,9.8,10.0,10.011,12.804,11.694,9.87
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",28.01,27.49,27.517,27.695,25.408,20.527,18.4,15.692,15.868,14.897,12.657
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.97,5.946,5.911,5.881,5.844,5.648,4.763,4.165,4.049,3.9,3.574
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.38,8.349,8.244,7.578,7.0,6.596,7.899,9.053,10.7,10.157,8.724
Bermuda,BMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,
Bolivia,BOL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.066,2.437,2.021,3.111,3.498,3.655,3.519,3.682,7.903,5.089,3.552
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.251,7.071,6.755,8.538,11.58,12.792,12.33,11.936,13.697,13.159,9.231
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.59,11.55,12.17,9.803,8.247,8.622,8.322,8.413,9.756,9.417,8.493
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.615,6.734,6.862,7.694,8.521,9.316,8.7,6.6,7.409,4.905,5.191
Bhutan,BTN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.05,2.87,2.63,2.45,2.737,3.039,3.35,2.72,5.03,4.804,5.947
Botswana,BWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",17.949,18.203,18.518,18.939,19.343,19.678,19.679,20.094,21.017,23.106,23.615
Central African Republic,CAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.52,5.56,5.685,5.871,5.904,5.969,5.896,5.978,6.556,6.676,6.337
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.392,7.143,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.28
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.979371910039438,10.048187090518644,8.864137335246715,7.822656643665438,6.49345477676331,5.2976471193954335,4.31558554732781,3.7808472070476364,4.373788355941904,4.486592812806735,4.006651675103616
Switzerland,CHE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.097,4.3
Channel Islands,CHI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.993,8.531,8.285,7.901,7.442,6.865,6.324,6.17,6.611,6.609,5.91
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.79,6.361,6.761,6.605,6.926,7.29,7.647,7.533,11.006,9.325,8.299
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5.0,4.55,4.98
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.223,4.255,3.275,2.574,1.896,3.273,2.851,2.401,2.559,2.59,2.434
Cameroon,CMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.837,3.687,3.534,3.52,3.534,3.581,3.619,3.646,3.866,3.951,3.687
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.485,4.474,4.446,4.456,4.548,4.637,4.661,4.642,5.369,5.273,4.585
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",19.573,19.902,19.781,20.2,20.524,20.887,20.938,20.608,22.373,22.077,20.261
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.959,9.246,8.799,8.572,8.922,9.086,9.36,10.28,15.983,13.898,10.547
Comoros,COM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.767,4.79,4.88,4.972,5.042,5.04,5.018,5.1,5.884,5.857,5.854
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.137,11.386,11.67,11.905,12.075,12.24,12.17,12.118,14.66,13.906,12.272
Costa Rica,CRI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.11,8.218,8.499,8.415,8.085,7.729,9.01,10.807,16.432,15.139,11.325
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.14909358378755,12.543856147004574,12.234624737315352,11.578944534035646,11.533143519568789,10.96118379015659,11.174961387924606,10.856229353813065,13.355063691321865,12.395407396109153,10.707863298124556
Cuba,CUB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.46,3.29,2.7,2.4,2.0,1.7,1.7,1.2,1.4,1.373,1.254
Curacao,CUW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,
Cyprus,CYP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.097,16.131,16.277,15.026,13.006,11.155,8.504,7.155,7.755,7.513,6.807
Czechia,CZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.979,6.953,6.108,5.048,3.952,2.893,2.246,2.015,2.551,2.803,2.224
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.379,5.231,4.981,4.624,4.122,3.746,3.384,3.136,3.856,3.638,3.135
Djibouti,DJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",26.252,26.211,26.217,26.095,25.999,26.064,26.18,26.246,27.645,27.548,26.367
Dominica,DMA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,
Denmark,DNK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.798,7.384,6.925,6.278,5.989,5.833,5.131,5.018,5.637,5.043,4.434
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.722,7.352,6.719,7.605,7.284,5.832,5.861,6.356,6.126,7.702,5.504
