Country Name,Year,Fixed broadband subscriptions,Fixed telephone subscriptions,GDP,Individuals using the Internet,Unemployment
Aruba,2012,,36000.0,2615208379.888268,0.74,
Africa Eastern and Southern,2012,0.0035195312619848325,8944861.0,952675592818.5546,0.08534750116961431,0.06947986623257782
Afghanistan,2012,4.923444e-05,90017.0,19907329777.587166,0.05454545455,0.07909
Africa Western and Central,2012,0.001083658921333723,2941315.0,737799647336.1948,0.10293654498193426,0.04010142513952892
Angola,2012,0.0008143466000000001,208345.0,128052915766.34274,0.077,0.16557
Albania,2012,0.0553517694,312000.0,12319834195.331005,0.494,0.13376
Andorra,2012,0.378879626,38320.0,3188652765.361844,0.8270000000000001,
Arab World,2012,0.029782491736170105,34844459.0,2793775680472.1484,0.3079548732675328,0.1088884905153835
United Arab Emirates,2012,0.1102124993,1967486.0,384610125391.4227,0.8499999149999999,0.02266
Argentina,2012,0.1227244996,9455639.0,545982375701.128,0.5579999999999999,0.07217
Armenia,2012,0.07275990668,583685.0,10619320682.947443,0.375,0.11704
American Samoa,2012,,10000.0,640000000.0,,
Antigua and Barbuda,2012,0.1490749823,33159.0,1327107407.4074073,0.58,
Australia,2012,0.2523178374,10471000.0,1547649835732.891,0.79,0.05225
Austria,2012,0.2527036755,3380000.0,409401816050.5313,0.8002999392,0.049089999999999995
Azerbaijan,2012,0.1443870146,1724004.0,69679944504.19719,0.542,0.0519
Burundi,2012,7.166571e-05,17394.0,2333341334.457535,0.01219999945,0.01591
Belgium,2012,0.3346897057,4634782.0,496152879924.7267,0.8071999055000001,0.07542
Benin,2012,0.0041702291499999995,156715.0,11141358115.899054,0.045,0.02415
Burkina Faso,2012,0.00083722241,141358.0,12561015156.568285,0.03725034916,0.03852
Bangladesh,2012,0.00394804677,961589.0,133310747047.52785,0.05,0.04075
Bulgaria,2012,0.1778425243,2132905.0,54288135058.79262,0.5189998767,0.12269999999999999
Bahrain,2012,0.2411442529,299416.0,30749308510.638298,0.88,0.012
"Bahamas, The",2012,0.2039726641,135000.0,10720500000.0,0.7174820281,0.1402
Bosnia and Herzegovina,2012,0.1277488356,929453.0,17226735995.690475,0.45064500430000004,0.2801
Belarus,2012,0.26118295410000003,4407040.0,65685890438.89215,0.46909999999999996,0.059699999999999996
Belize,2012,0.029588291660000002,25415.0,1899503249.864295,0.31,0.08380000000000001
Bermuda,2012,,69000.0,6378188000.0,0.9129930452,
Bolivia,2012,0.01104175456,880371.0,27084497481.910275,0.35340000000000005,0.020659999999999998
Brazil,2012,0.09560888752,44305294.0,2465227803011.568,0.48560000000000003,0.07251
Barbados,2012,0.2421596101,143358.0,4622687600.0,0.7120000000000001,0.1159
Brunei Darussalam,2012,0.048812937429999995,70933.0,19048443340.773243,0.6027306504,0.06615
Bhutan,2012,0.02324910628,27005.0,1939730676.1747937,0.156,0.020499999999999997
Botswana,2012,0.01022145098,160488.0,13907464500.148876,0.16,0.17949
Central African Republic,2012,0.00012674654,823.0,2510126512.2283134,0.024,0.0552
Canada,2012,0.33696400060000004,17726000.0,1828366481521.5952,0.83,0.07392
Central Europe and the Baltics,2012,0.1990036691177247,22965138.0,1359052936743.2288,0.6171402629669084,0.09979371910039438
Switzerland,2012,0.40176041290000003,4721981.0,686420221557.9899,0.852,0.04491
Channel Islands,2012,,,,,0.07993
Chile,2012,0.1249197674,3292502.0,267024782480.28046,0.5505,0.0679
China,2012,0.1281926115,278153000.0,8532185381680.593,0.4230011749,0.0458
Cote d'Ivoire,2012,0.00209747872,276135.0,36302302877.297745,0.044000000000000004,0.07223
Cameroon,2012,0.00065830875,737445.0,30155062302.449677,0.075,0.03837
"Congo, Dem. Rep.",2012,,59534.0,29306235285.259663,0.016799610149999998,0.04485
"Congo, Rep.",2012,0.00029533717000000003,14932.0,17692911296.304386,0.06106695024,0.19573000000000002
Colombia,2012,0.08602990532,7066130.0,370691143018.03864,0.48979999999999996,0.09959
Comoros,2012,0.0018011779999999999,24000.0,1015843490.8237381,0.05975296308,0.047670000000000004
Cabo Verde,2012,0.03718737356,70220.0,1913081210.4141111,0.34740000000000004,0.11137000000000001
Costa Rica,2012,0.09470813838,995089.0,47231655431.138916,0.475,0.0911
Caribbean small states,2012,0.10445521978248827,697773.0,32052386052.294262,0.4385131613190256,0.1214909358378755
Cuba,2012,0.0004432639,1216522.0,73141000000.0,0.212,0.0346
Curacao,2012,0.2170322297,63868.0,3012836256.98324,,
